,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
342,Blueberry-Buttermilk-Pancakes-1686565,1200.0,11,3,300.0,1500
343,Sweet-Potato-Breakfast-Skillet-1683415,720.0,8,4,1200.0,1920
344,Paleo-Pancakes-503735,,5,4,,900
345,Strawberries-_-Cream-French-Toast-Bake-1612353,,6,4,,1800
346,Pancakes-From-Scratch-1361947,,7,4,,1500
347,Gluten-Free-Blender-Pancakes-1613251,600.0,6,6,300.0,900
348,Hearty-Eggs-with-Harissa-Spiced-Chickpeas-and-Mixed-greens-and-A-Ramadan-Gift-Giveaway-1696885,,8,4,,3000
349,French-Toast-1200744,,8,4,,2400
350,Weekend-Warrior-Omelette-1611419,,6,2,,1500
351,Vegan-Blueberry-Pancakes-1688509,840.0,13,4,,1200
352,Make-Ahead-Breakfast-Cups-1060535,900.0,7,12,600.0,1500
353,Oatmeal-Pancakes-554826,,6,5,,1500
354,Blueberry-Gluten-Free-Pancakes-with-Quinoa-and-Lemon-1685590,1200.0,12,4,900.0,2100
355,Classic-Buttermilk-Waffles-1688907,1800.0,42,10,600.0,2400
356,Double-Almond-Coconut-Granola-1683956,,8,8,,3300
357,FIT-FRIDAY--OATMEAL-BLUEBERRY-PANCAKES-1044564,,8,4,,1200
358,French-Toast-1511300,300.0,9,2,600.0,900
359,N_Oatmeal-Breakfast-Bowl-1119574,,6,2,300.0,300
360,Cinnamon-Maple-Mixed-Nut-Butter-1634082,300.0,7,1,900.0,1200
361,French-Toast-Casserole-with-Blueberry-Cream-Cheese-Frosting-1698369,,8,4,,5100
362,Spinach-and-Artichoke-Strata-1689298,,10,4,,4800
363,Sweet-and-Spicy-Breakfast-Skillet-1320698,,7,2,,1500
364,Dads-Favorite-Blueberry-Pancakes-1699268,,8,8,,2400
365,Perfect-Spinach-_-Feta-Omelet-1687064,,8,4,,900
366,Homemade-Waffles-1626158,120.0,8,5,300.0,420
367,Scrambled-Eggs-with-Cheese_-Basil_-Spinach-and-Mushrooms-1712388,600.0,9,4,300.0,900
368,Caramel-Apple-French-Toast-Casserole-1638541,,6,4,,3600
369,Sourdough-Pancakes-601705,1200.0,7,4,300.0,30300
370,Blueberry-oatmeal-waffles-334870,,11,6,,1500
371,Greek-yogurt-with-berries_-nuts-and-honey-352045,,4,4,,120
